id,name,price,vehicle_make,vehicle_model,year_range,brand_id,category_id,subcategory_id,engine_size,oem_part_number,description,product_url,image_url,created_at,updated_at
19,Mercedes-Benz Demio Oil Pump,81104.89,Mercedes-Benz,Demio,2010-2015,2,1,3,3.0L,MER-38080,"High-quality Mercedes-Benz Demio Oil Pump for Mercedes-Benz Demio, suitable for 2020-2024 models.",https://example.com/products/mercedes-benz-demio-oil-pump,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.868659,2025-11-08T14:11:24.868663
20,Mazda Hilux CV Joint,79930.47,Mazda,Hilux,2020-2024,7,4,19,2.0L,MAZ-56438,"High-quality Mazda Hilux CV Joint for Mazda Hilux, suitable for 2020-2024 models.",https://example.com/products/mazda-hilux-cv-joint,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.868958,2025-11-08T14:11:24.868963
21,Subaru Sorento Spark Plugs,31717.12,Subaru,Sorento,2020-2024,1,1,1,1.5L,SUB-34931,"High-quality Subaru Sorento Spark Plugs for Subaru Sorento, suitable for 2020-2024 models.",https://example.com/products/subaru-sorento-spark-plugs,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.869239,2025-11-08T14:11:24.869242
22,Mazda Hilux Brake Calipers,97442.61,Mazda,Hilux,2005-2010,8,3,13,1.3L,MAZ-82132,"High-quality Mazda Hilux Brake Calipers for Mazda Hilux, suitable for 2005-2010 models.",https://example.com/products/mazda-hilux-brake-calipers,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.869516,2025-11-08T14:11:24.869520
23,Subaru Discovery Bushings,27615.31,Subaru,Discovery,2005-2010,3,2,7,1.5L,SUB-62565,"High-quality Subaru Discovery Bushings for Subaru Discovery, suitable for 2020-2024 models.",https://example.com/products/subaru-discovery-bushings,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.869802,2025-11-08T14:11:24.869805
24,Land Rover Tucson Timing Belt,84349.5,Land Rover,Tucson,2020-2024,5,1,4,1.5L,LAN-82845,"High-quality Land Rover Tucson Timing Belt for Land Rover Tucson, suitable for 2010-2015 models.",https://example.com/products/land-rover-tucson-timing-belt,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.870088,2025-11-08T14:11:24.870092
25,BMW C-Class Alternators,90387.13,BMW,C-Class,2005-2010,1,5,22,2.4L,BMW-17492,"High-quality BMW C-Class Alternators for BMW C-Class, suitable for 2020-2024 models.",https://example.com/products/bmw-c-class-alternators,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.870336,2025-11-08T14:11:24.870340
26,Mercedes-Benz Hilux Car Mats,10551.26,Mercedes-Benz,Hilux,2010-2015,1,9,40,2.0L,MER-18907,"High-quality Mercedes-Benz Hilux Car Mats for Mercedes-Benz Hilux, suitable for 2005-2010 models.",https://example.com/products/mercedes-benz-hilux-car-mats,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.870604,2025-11-08T14:11:24.870608
27,BMW Corolla Truck,12133.05,BMW,Corolla,2015-2020,10,10,44,1.8L,BMW-96163,"High-quality BMW Corolla Truck for BMW Corolla, suitable for 2010-2015 models.",https://example.com/products/bmw-corolla-truck,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.870944,2025-11-08T14:11:24.870950
28,Subaru Pajero Fuel Filter,56223.89,Subaru,Pajero,2005-2010,5,6,27,2.0L,SUB-19508,"High-quality Subaru Pajero Fuel Filter for Subaru Pajero, suitable for 2005-2010 models.",https://example.com/products/subaru-pajero-fuel-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.871289,2025-11-08T14:11:24.871293
29,Mercedes-Benz Tucson Control Arms,112157.98,Mercedes-Benz,Tucson,2010-2015,4,2,10,1.8L,MER-19016,"High-quality Mercedes-Benz Tucson Control Arms for Mercedes-Benz Tucson, suitable for 2015-2020 models.",https://example.com/products/mercedes-benz-tucson-control-arms,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.871565,2025-11-08T14:11:24.871568
30,Hyundai X5 ABS Sensors,3419.22,Hyundai,X5,2015-2020,9,3,14,3.0L,HYU-82692,"High-quality Hyundai X5 ABS Sensors for Hyundai X5, suitable for 2005-2010 models.",https://example.com/products/hyundai-x5-abs-sensors,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.871811,2025-11-08T14:11:24.871814
31,Nissan C-Class Brake Discs,34500.91,Nissan,C-Class,2010-2015,2,3,13,3.0L,NIS-89276,"High-quality Nissan C-Class Brake Discs for Nissan C-Class, suitable for 2015-2020 models.",https://example.com/products/nissan-c-class-brake-discs,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.872143,2025-11-08T14:11:24.872148
32,Land Rover Tucson CV Joint,13345.07,Land Rover,Tucson,2015-2020,9,4,18,1.3L,LAN-65518,"High-quality Land Rover Tucson CV Joint for Land Rover Tucson, suitable for 2005-2010 models.",https://example.com/products/land-rover-tucson-cv-joint,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.872417,2025-11-08T14:11:24.872420
33,Mitsubishi Discovery Cabin Filter,68406.56,Mitsubishi,Discovery,2005-2010,5,6,27,3.0L,MIT-24663,"High-quality Mitsubishi Discovery Cabin Filter for Mitsubishi Discovery, suitable for 2010-2015 models.",https://example.com/products/mitsubishi-discovery-cabin-filter,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.872711,2025-11-08T14:11:24.872714
34,BMW C-Class Car Mats,52999.94,BMW,C-Class,2015-2020,6,9,39,1.8L,BMW-15482,"High-quality BMW C-Class Car Mats for BMW C-Class, suitable for 2005-2010 models.",https://example.com/products/bmw-c-class-car-mats,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.872997,2025-11-08T14:11:24.873002
35,Nissan Sorento Cabin Filter,116925.85,Nissan,Sorento,2010-2015,4,6,27,4.0L Diesel,NIS-30257,"High-quality Nissan Sorento Cabin Filter for Nissan Sorento, suitable for 2010-2015 models.",https://example.com/products/nissan-sorento-cabin-filter,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.873317,2025-11-08T14:11:24.873321
36,Mitsubishi Sorento Brake Calipers,96762.63,Mitsubishi,Sorento,2015-2020,1,3,14,1.5L,MIT-42527,"High-quality Mitsubishi Sorento Brake Calipers for Mitsubishi Sorento, suitable for 2005-2010 models.",https://example.com/products/mitsubishi-sorento-brake-calipers,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.873575,2025-11-08T14:11:24.873580
37,Mazda Demio Brake Fluid,43584.86,Mazda,Demio,2010-2015,8,7,30,1.3L,MAZ-39831,"High-quality Mazda Demio Brake Fluid for Mazda Demio, suitable for 2010-2015 models.",https://example.com/products/mazda-demio-brake-fluid,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.873849,2025-11-08T14:11:24.873854
38,Nissan Tucson Transmission Fluid,77874.1,Nissan,Tucson,2015-2020,5,7,32,1.3L,NIS-62386,"High-quality Nissan Tucson Transmission Fluid for Nissan Tucson, suitable for 2005-2010 models.",https://example.com/products/nissan-tucson-transmission-fluid,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.874130,2025-11-08T14:11:24.874135
39,Hyundai Corolla Alternators,72597.12,Hyundai,Corolla,2015-2020,10,5,22,2.0L,HYU-55309,"High-quality Hyundai Corolla Alternators for Hyundai Corolla, suitable for 2005-2010 models.",https://example.com/products/hyundai-corolla-alternators,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.874434,2025-11-08T14:11:24.874437
40,Toyota Forester Engine Oil,63590.64,Toyota,Forester,2010-2015,5,7,31,1.8L,TOY-80575,"High-quality Toyota Forester Engine Oil for Toyota Forester, suitable for 2020-2024 models.",https://example.com/products/toyota-forester-engine-oil,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.874707,2025-11-08T14:11:24.874718
41,Kia Hilux Stabilizer Links,62086.89,Kia,Hilux,2020-2024,10,2,8,1.8L,KIA-97410,"High-quality Kia Hilux Stabilizer Links for Kia Hilux, suitable for 2020-2024 models.",https://example.com/products/kia-hilux-stabilizer-links,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:24.875029,2025-11-08T14:11:24.875034
42,Mazda Forester Sensors,82084.86,Mazda,Forester,2015-2020,3,5,25,2.0L,MAZ-32810,"High-quality Mazda Forester Sensors for Mazda Forester, suitable for 2005-2010 models.",https://example.com/products/mazda-forester-sensors,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.875340,2025-11-08T14:11:24.875344
43,Subaru X5 ECU Modules,79427.91,Subaru,X5,2020-2024,4,5,23,2.0L,SUB-70946,"High-quality Subaru X5 ECU Modules for Subaru X5, suitable for 2010-2015 models.",https://example.com/products/subaru-x5-ecu-modules,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.875610,2025-11-08T14:11:24.875614
44,Nissan Tucson Seat Covers,13473.0,Nissan,Tucson,2015-2020,3,9,42,1.5L,NIS-40784,"High-quality Nissan Tucson Seat Covers for Nissan Tucson, suitable for 2010-2015 models.",https://example.com/products/nissan-tucson-seat-covers,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.875878,2025-11-08T14:11:24.875882
45,Mazda Discovery ABS Sensors,102344.18,Mazda,Discovery,2020-2024,1,3,11,2.0L,MAZ-19545,"High-quality Mazda Discovery ABS Sensors for Mazda Discovery, suitable for 2010-2015 models.",https://example.com/products/mazda-discovery-abs-sensors,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.876152,2025-11-08T14:11:24.876156
46,Mazda Pajero Engine Oil,107387.53,Mazda,Pajero,2020-2024,7,7,33,1.5L,MAZ-23970,"High-quality Mazda Pajero Engine Oil for Mazda Pajero, suitable for 2010-2015 models.",https://example.com/products/mazda-pajero-engine-oil,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.876457,2025-11-08T14:11:24.876461
47,Mercedes-Benz Demio Wiper Blades,56134.26,Mercedes-Benz,Demio,2015-2020,1,9,42,4.0L Diesel,MER-70901,"High-quality Mercedes-Benz Demio Wiper Blades for Mercedes-Benz Demio, suitable for 2020-2024 models.",https://example.com/products/mercedes-benz-demio-wiper-blades,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.876714,2025-11-08T14:11:24.876717
48,Mercedes-Benz Discovery Performance,89879.51,Mercedes-Benz,Discovery,2020-2024,7,10,47,1.8L,MER-72216,"High-quality Mercedes-Benz Discovery Performance for Mercedes-Benz Discovery, suitable for 2010-2015 models.",https://example.com/products/mercedes-benz-discovery-performance,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.876986,2025-11-08T14:11:24.876990
49,Mazda Tucson Sensors,11604.29,Mazda,Tucson,2010-2015,8,5,25,1.8L,MAZ-47450,"High-quality Mazda Tucson Sensors for Mazda Tucson, suitable for 2015-2020 models.",https://example.com/products/mazda-tucson-sensors,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.877283,2025-11-08T14:11:24.877288
50,Mitsubishi Demio Cabin Filter,84039.1,Mitsubishi,Demio,2005-2010,3,6,26,2.0L,MIT-38043,"High-quality Mitsubishi Demio Cabin Filter for Mitsubishi Demio, suitable for 2020-2024 models.",https://example.com/products/mitsubishi-demio-cabin-filter,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.877597,2025-11-08T14:11:24.877601
51,Toyota Demio Cabin Filter,48263.53,Toyota,Demio,2005-2010,7,6,29,4.0L Diesel,TOY-86556,"High-quality Toyota Demio Cabin Filter for Toyota Demio, suitable for 2020-2024 models.",https://example.com/products/toyota-demio-cabin-filter,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.877858,2025-11-08T14:11:24.877862
52,Hyundai Forester Mirrors,65740.92,Hyundai,Forester,2010-2015,6,8,34,2.0L,HYU-81582,"High-quality Hyundai Forester Mirrors for Hyundai Forester, suitable for 2010-2015 models.",https://example.com/products/hyundai-forester-mirrors,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.878134,2025-11-08T14:11:24.878138
53,Toyota Forester Ignition Coils,81092.65,Toyota,Forester,2010-2015,8,5,24,4.0L Diesel,TOY-62994,"High-quality Toyota Forester Ignition Coils for Toyota Forester, suitable for 2020-2024 models.",https://example.com/products/toyota-forester-ignition-coils,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.878427,2025-11-08T14:11:24.878431
54,Toyota Forester ABS Sensors,68816.06,Toyota,Forester,2005-2010,9,3,15,3.0L,TOY-13552,"High-quality Toyota Forester ABS Sensors for Toyota Forester, suitable for 2020-2024 models.",https://example.com/products/toyota-forester-abs-sensors,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.878733,2025-11-08T14:11:24.878737
55,Toyota Tucson Brake Calipers,40963.94,Toyota,Tucson,2015-2020,3,3,14,1.8L,TOY-69598,"High-quality Toyota Tucson Brake Calipers for Toyota Tucson, suitable for 2020-2024 models.",https://example.com/products/toyota-tucson-brake-calipers,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.879018,2025-11-08T14:11:24.879021
56,Nissan Discovery Alternators,90510.35,Nissan,Discovery,2015-2020,5,5,24,1.5L,NIS-16826,"High-quality Nissan Discovery Alternators for Nissan Discovery, suitable for 2005-2010 models.",https://example.com/products/nissan-discovery-alternators,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.879276,2025-11-08T14:11:24.879281
57,Mazda Corolla Gaskets,20404.93,Mazda,Corolla,2020-2024,4,1,1,3.0L,MAZ-26544,"High-quality Mazda Corolla Gaskets for Mazda Corolla, suitable for 2005-2010 models.",https://example.com/products/mazda-corolla-gaskets,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.879577,2025-11-08T14:11:24.879583
58,Hyundai Sorento Performance,73692.39,Hyundai,Sorento,2010-2015,8,10,44,1.8L,HYU-25012,"High-quality Hyundai Sorento Performance for Hyundai Sorento, suitable for 2005-2010 models.",https://example.com/products/hyundai-sorento-performance,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.879860,2025-11-08T14:11:24.879864
59,BMW Forester Motorbike,113122.8,BMW,Forester,2005-2010,5,10,43,2.4L,BMW-35995,"High-quality BMW Forester Motorbike for BMW Forester, suitable for 2010-2015 models.",https://example.com/products/bmw-forester-motorbike,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.880162,2025-11-08T14:11:24.880166
60,Nissan X5 Shock Absorbers,43296.44,Nissan,X5,2015-2020,10,2,8,1.3L,NIS-66148,"High-quality Nissan X5 Shock Absorbers for Nissan X5, suitable for 2015-2020 models.",https://example.com/products/nissan-x5-shock-absorbers,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.880448,2025-11-08T14:11:24.880452
61,Nissan Forester Oil Pump,77181.25,Nissan,Forester,2010-2015,8,1,4,2.0L,NIS-70258,"High-quality Nissan Forester Oil Pump for Nissan Forester, suitable for 2010-2015 models.",https://example.com/products/nissan-forester-oil-pump,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.880743,2025-11-08T14:11:24.880746
62,Mercedes-Benz Discovery Phone Mounts,53680.0,Mercedes-Benz,Discovery,2015-2020,10,9,41,1.8L,MER-87656,"High-quality Mercedes-Benz Discovery Phone Mounts for Mercedes-Benz Discovery, suitable for 2010-2015 models.",https://example.com/products/mercedes-benz-discovery-phone-mounts,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.880998,2025-11-08T14:11:24.881001
63,Mazda Discovery Ball Joints,74213.98,Mazda,Discovery,2015-2020,8,2,8,1.3L,MAZ-59674,"High-quality Mazda Discovery Ball Joints for Mazda Discovery, suitable for 2020-2024 models.",https://example.com/products/mazda-discovery-ball-joints,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.881267,2025-11-08T14:11:24.881270
64,Mazda Sorento Fuel Filter,42489.81,Mazda,Sorento,2015-2020,8,6,27,2.4L,MAZ-88139,"High-quality Mazda Sorento Fuel Filter for Mazda Sorento, suitable for 2005-2010 models.",https://example.com/products/mazda-sorento-fuel-filter,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.881536,2025-11-08T14:11:24.881540
65,Mazda Forester Phone Mounts,67733.2,Mazda,Forester,2020-2024,2,9,40,3.0L,MAZ-41499,"High-quality Mazda Forester Phone Mounts for Mazda Forester, suitable for 2020-2024 models.",https://example.com/products/mazda-forester-phone-mounts,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.881848,2025-11-08T14:11:24.881852
66,Hyundai Demio Mirrors,83784.99,Hyundai,Demio,2015-2020,2,8,34,2.0L,HYU-50135,"High-quality Hyundai Demio Mirrors for Hyundai Demio, suitable for 2015-2020 models.",https://example.com/products/hyundai-demio-mirrors,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.882124,2025-11-08T14:11:24.882129
67,Land Rover Tucson Transmission Fluid,32039.93,Land Rover,Tucson,2010-2015,6,7,32,1.8L,LAN-25814,"High-quality Land Rover Tucson Transmission Fluid for Land Rover Tucson, suitable for 2005-2010 models.",https://example.com/products/land-rover-tucson-transmission-fluid,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.882397,2025-11-08T14:11:24.882401
68,Mazda Discovery Seat Covers,87638.74,Mazda,Discovery,2015-2020,4,9,40,1.3L,MAZ-78765,"High-quality Mazda Discovery Seat Covers for Mazda Discovery, suitable for 2010-2015 models.",https://example.com/products/mazda-discovery-seat-covers,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.882679,2025-11-08T14:11:24.882683
69,Mitsubishi Tucson Alternators,85692.17,Mitsubishi,Tucson,2015-2020,6,5,22,1.3L,MIT-26591,"High-quality Mitsubishi Tucson Alternators for Mitsubishi Tucson, suitable for 2005-2010 models.",https://example.com/products/mitsubishi-tucson-alternators,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.882984,2025-11-08T14:11:24.882988
70,Land Rover Hilux Wiper Blades,69952.55,Land Rover,Hilux,2020-2024,3,9,41,2.0L,LAN-71524,"High-quality Land Rover Hilux Wiper Blades for Land Rover Hilux, suitable for 2015-2020 models.",https://example.com/products/land-rover-hilux-wiper-blades,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.883266,2025-11-08T14:11:24.883271
71,Land Rover Hilux Brake Pads,49583.12,Land Rover,Hilux,2005-2010,5,3,11,1.5L,LAN-19710,"High-quality Land Rover Hilux Brake Pads for Land Rover Hilux, suitable for 2010-2015 models.",https://example.com/products/land-rover-hilux-brake-pads,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.883624,2025-11-08T14:11:24.883628
72,Mazda Hilux Truck,92322.1,Mazda,Hilux,2010-2015,2,10,45,4.0L Diesel,MAZ-89471,"High-quality Mazda Hilux Truck for Mazda Hilux, suitable for 2020-2024 models.",https://example.com/products/mazda-hilux-truck,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.883926,2025-11-08T14:11:24.883930
73,BMW Forester Tail Lights,69313.96,BMW,Forester,2005-2010,5,8,37,4.0L Diesel,BMW-17894,"High-quality BMW Forester Tail Lights for BMW Forester, suitable for 2010-2015 models.",https://example.com/products/bmw-forester-tail-lights,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.884203,2025-11-08T14:11:24.884207
74,Mitsubishi Demio Clutch Kit,67359.09,Mitsubishi,Demio,2005-2010,2,4,18,2.0L,MIT-30517,"High-quality Mitsubishi Demio Clutch Kit for Mitsubishi Demio, suitable for 2020-2024 models.",https://example.com/products/mitsubishi-demio-clutch-kit,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.884447,2025-11-08T14:11:24.884450
75,Toyota Demio Off-Road,85567.31,Toyota,Demio,2005-2010,5,10,46,3.0L,TOY-69510,"High-quality Toyota Demio Off-Road for Toyota Demio, suitable for 2010-2015 models.",https://example.com/products/toyota-demio-off-road,"https://source.unsplash.com/featured/?car,toyota,part",2025-11-08T14:11:24.884684,2025-11-08T14:11:24.884687
76,Subaru Hilux ECU Modules,28915.11,Subaru,Hilux,2015-2020,4,5,25,4.0L Diesel,SUB-29528,"High-quality Subaru Hilux ECU Modules for Subaru Hilux, suitable for 2010-2015 models.",https://example.com/products/subaru-hilux-ecu-modules,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.884960,2025-11-08T14:11:24.884965
77,Hyundai X5 Ball Joints,110740.12,Hyundai,X5,2005-2010,3,2,6,2.0L,HYU-67560,"High-quality Hyundai X5 Ball Joints for Hyundai X5, suitable for 2015-2020 models.",https://example.com/products/hyundai-x5-ball-joints,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.885226,2025-11-08T14:11:24.885230
